src2dst_mean_piat_ms,dst2src_mean_piat_ms,src2dst_mean_ps,dst2src_mean_ps,src2dst_stddev_piat_ms,dst2src_stddev_piat_ms,src2dst_stddev_ps,dst2src_stddev_ps,src2dst_packets,dst2src_packets,src2dst_bytes,dst2src_bytes,src_port,dst_port,protocol,stream_type
9.222106360792486,4.35551142005958,104.37604166666672,1283.780148883375,14.431021277072624,10.432415706729277,57.76276722360882,98.24709846342692,960.0,2015.0,100201.0,2586817.0,57526.0,443.0,17.0,1.0
6.692892266428241,15.327700972862264,1277.6496089385475,99.46315250767644,39.704599016899735,54.59437924899112,129.50305846475044,57.04814150384548,4475.0,1954.0,5717482.0,194351.0,443.0,56669.0,17.0,1.0
24.80222496909765,9.312500000000002,101.1493827160494,1283.5300699300717,591.908093401879,364.7625059943544,52.118066552549415,97.64005514489672,810.0,2145.0,81931.0,2753172.0,56669.0,443.0,17.0,1.0
18.078597339782345,32.43167028199567,1275.4495468277955,108.63813651137588,210.3614033360639,274.10496771884954,137.22295721267312,59.18551606537653,1655.0,923.0,2110869.0,100273.0,443.0,64353.0,17.0,1.0
5.474966472954838,13.08891269416178,1282.2898324022317,102.03961456102758,154.0991284957184,232.73266573047556,104.95590649558004,67.93318446408526,4475.0,1868.0,5738247.0,190610.0,443.0,64353.0,17.0,1.0
33.50853658536584,12.868013151714424,103.01948842874548,1284.0760563380272,789.3946900809598,503.0965999371074,82.31758612587974,94.81035353321946,821.0,2130.0,84579.0,2735082.0,64353.0,443.0,17.0,1.0
13.589445910290264,30.468639053254435,1284.16930379747,110.49172576832156,389.7195391723819,580.3533757812811,93.6733465792525,61.17010371301326,1896.0,846.0,2434785.0,93476.0,443.0,64353.0,17.0,1.0
16.538086532602037,6.323234732824419,105.03166869671128,1283.4793703792038,182.87309652509816,125.75620084626183,85.01820557525845,98.70048336455784,1642.0,4193.0,172462.0,5381629.0,49264.0,443.0,17.0,1.0
21.38413685847589,8.114949374627768,104.24242424242416,1279.0943733253946,195.1967066053259,130.8332426922512,83.51202576645898,121.33401724747392,1287.0,3359.0,134160.0,4296478.0,49264.0,443.0,17.0,1.0
12.852587244284004,4.864815239843929,98.73180998196044,1283.766636071596,181.1776561744139,113.41493312635323,51.27856479790385,97.50837333781,1663.0,4358.0,164191.0,5594655.0,49264.0,443.0,17.0,1.0
15.61524717093507,6.695106328465297,102.52023809523826,1280.8186475409866,306.79116431862326,201.14462895435148,65.46822839414367,113.61606262095091,1680.0,3904.0,172234.0,5000316.0,64414.0,443.0,17.0,1.0
15.607862903225806,6.098663522012584,100.66968781470284,1283.1131630648372,344.8357898424637,215.14423390461815,56.12500141536047,100.44364523618351,993.0,2545.0,99965.0,3265523.0,64414.0,443.0,17.0,1.0
5.240701381509044,12.758635578583789,1281.094386399858,100.56452309020284,89.18873598465652,133.56350375991804,112.49148327824506,60.037601932905865,5647.0,2317.0,7234340.0,233008.0,443.0,63626.0,17.0,1.0
57.66741573033709,10.303091128061004,107.76233183856505,1231.0168539325823,147.98347833220265,66.03901173368936,158.64319946100576,256.36865900183693,446.0,2492.0,48062.0,3067694.0,52082.0,443.0,17.0,0.0
13.17330677290837,35.387096774193566,710.719681908549,117.99999999999996,23.077493434406684,25.25289697400624,465.44344933855206,190.035791761809,503.0,187.0,357492.0,22066.0,443.0,54978.0,17.0,0.0
82.61369863013698,11.91789557592662,117.1010928961749,1228.9533864541788,225.9508269191735,89.56440993669354,183.7540886475529,262.4887930923708,366.0,2510.0,42859.0,3084673.0,49980.0,443.0,17.0,0.0
64.80353200882999,11.350639287098032,100.60352422907496,1208.746320681643,167.33894326904294,75.15303681436039,143.78726801180466,281.5117302317217,454.0,2582.0,45674.0,3120983.0,57811.0,443.0,17.0,0.0
79.35978835978833,11.63096168881938,123.30606860158308,1221.5978898007045,216.65722459127537,87.15720522760755,198.248257703949,273.90624000658414,379.0,2559.0,46733.0,3126069.0,57065.0,443.0,17.0,0.0
76.76315789473679,11.00716981132076,106.49343832021005,1246.8230856280647,238.10609752514893,94.02540732704963,162.16694803744207,226.3430507305724,381.0,2651.0,40574.0,3305328.0,59403.0,443.0,17.0,0.0
13.386004514672678,77.97127937336813,1212.1976534296025,120.17708333333331,88.49562471931877,202.02844833677295,296.02582816041155,189.58679790061103,2216.0,384.0,2686230.0,46148.0,443.0,62663.0,17.0,0.0
16.438685208596702,53.241803278688536,1000.3623737373736,97.40816326530611,40.41228626676681,56.37976512966658,478.5255786839278,140.44719536959914,792.0,245.0,792287.0,23865.0,443.0,64223.0,17.0,0.0
102.40677966101694,20.153435623749164,131.39189189189187,1185.4266666666674,240.47531720567983,112.5896370677058,211.90519578772097,338.15861976835333,296.0,1500.0,38892.0,1778140.0,64532.0,443.0,17.0,0.0
92.20504731861196,13.063477872150209,108.84276729559744,1238.021894548703,252.58550170317875,99.46887348138458,169.25105145184327,246.86633066406984,318.0,2238.0,34612.0,2770693.0,53754.0,443.0,17.0,0.0
9.914107699154426,33.123511904761884,938.2891459074724,103.3714710252601,22.252841802631337,29.93765873609632,446.9725019170988,156.25805280317172,2248.0,673.0,2109274.0,69569.0,443.0,60974.0,17.0,0.0
45.1565995525727,12.77953253316488,115.74107142857152,1062.733585858586,55.39574375418382,36.26915167703444,187.3348935361741,421.4259009624844,448.0,1584.0,51852.0,1683370.0,63286.0,443.0,17.0,0.0
111.15178571428562,13.310363247863227,120.39111111111104,1274.3956219967952,635.6411855505411,224.9936951179734,150.32158358686715,140.16379658808205,225.0,1873.0,27088.0,2386943.0,61095.0,443.0,17.0,0.0
105.5035460992908,15.539225941422584,134.87985865724391,1236.1578672242542,272.29956876117666,110.94099925442384,187.87280587842525,248.02999582831765,283.0,1913.0,38171.0,2364770.0,64010.0,443.0,17.0,0.0
119.11718749999994,17.579988365328653,139.80155642023345,1212.054651162791,272.94383882845165,111.67518161327708,201.7202859098909,281.60825923825234,257.0,1720.0,35929.0,2084734.0,51480.0,443.0,17.0,0.0
111.53505535055352,16.176311519740423,136.30514705882348,1226.713513513511,264.9499422810263,106.9747930276762,191.10465123195587,266.9068482385719,272.0,1850.0,37075.0,2269420.0,49156.0,443.0,17.0,0.0
63.44397463002115,315.8947368421053,1158.5295358649792,151.96875000000006,373.3493693867139,788.7803603582546,371.6105058358338,220.6308397169592,474.0,96.0,549143.0,14589.0,443.0,55408.0,17.0,0.0
90.90220820189283,14.616514690982774,131.49371069182396,1227.3579746835455,244.93569272578017,102.10756952098386,176.79030590832448,264.69780317758745,318.0,1975.0,41815.0,2424032.0,65103.0,443.0,17.0,0.0
11.26384730538922,88.00292397660817,1251.6943509165717,128.20991253644317,93.95713630290408,254.61551139404628,212.7804500932318,173.33806409112174,2673.0,343.0,3345779.0,43976.0,443.0,63930.0,17.0,0.0
8.18557823129249,31.72439281942976,895.1387377584329,125.30590717299584,16.177410506077923,21.43984816529296,428.9322129796623,166.94464519271497,3676.0,948.0,3290530.0,118790.0,443.0,50060.0,17.0,0.0
92.3765432098765,12.280033140016563,129.66769230769225,1244.8331262939969,252.6005060782455,95.90573468322664,175.7120620132325,229.78266608456664,325.0,2415.0,42142.0,3006272.0,56538.0,443.0,17.0,0.0
11.599844901124436,86.74782608695647,1246.8182170542648,129.93930635838154,95.99942025284354,252.68188855723992,224.60848858870528,175.697217529571,2580.0,346.0,3216791.0,44959.0,443.0,59399.0,17.0,0.0
14.034256217738154,93.44687499999996,1211.3400562851784,146.84423676012466,86.51911373750342,210.91763310018956,293.7140033231244,205.43910451029956,2132.0,321.0,2582577.0,47137.0,443.0,52357.0,17.0,0.0
12.38713692946058,52.39964788732392,1033.2592285358774,119.58172231985942,26.48492291982829,33.702094616412886,429.74737294940496,148.61257677329138,2411.0,569.0,2491188.0,68042.0,443.0,55108.0,17.0,0.0
253.68965517241384,233.3571428571429,504.38461538461513,368.7637795275588,632.4531591357179,612.6513196170978,531.14604209872,438.75155599042,117.0,127.0,59013.0,46833.0,59113.0,443.0,17.0,0.0
11.394565633371592,44.01928783382792,1013.7058148431524,121.38666666666654,25.516668746774464,35.44748431855712,434.53267751329264,154.4231252189059,2614.0,675.0,2649827.0,81936.0,443.0,52548.0,17.0,0.0
16.07288135593223,102.06834532374104,1207.0587238848136,152.56272401433694,102.72991035623704,242.09970274698065,301.9359979069121,217.79533535387205,1771.0,279.0,2137701.0,42565.0,443.0,54232.0,17.0,0.0
70.06741573033709,12.307439104674144,143.74626865671647,1212.7611842105243,167.42385528273007,74.24665754594267,208.3151489855846,284.2157108885972,268.0,1520.0,38524.0,1843397.0,57654.0,443.0,17.0,0.0
16.069506726457405,96.84745762711866,1198.270028011205,150.43918918918928,85.20798802525708,190.56700337184984,313.1175761688972,216.39542356611264,1785.0,296.0,2138912.0,44530.0,443.0,57654.0,17.0,0.0
201.0895522388059,236.0087719298245,424.8962962962964,526.7130434782607,594.6248259612294,635.6031139842245,485.9536135665821,533.3765952610171,135.0,115.0,57361.0,60572.0,443.0,59113.0,17.0,0.0
167.44444444444449,30.956756756756743,159.6511627906977,1163.6133909287237,324.56573903332486,153.71826660259168,235.22204353487345,365.35069800672704,172.0,926.0,27460.0,1077506.0,57105.0,443.0,17.0,0.0
81.97765363128492,76.3125,78.57222222222225,5868.3989637305685,387.00519630845326,381.1851541282118,92.10032364300284,4134.753239991948,180.0,193.0,14143.0,1132601.0,60360.0,80.0,6.0,0.0
201.82517482517483,46.964824120603005,118.6805555555556,1143.1605351170574,345.1075014119211,186.29296162906357,193.13985123933412,393.6117699479897,144.0,598.0,17090.0,683610.0,64057.0,443.0,17.0,0.0
84.26409495548967,21.59391634980987,107.2514792899408,1211.7765957446811,246.83235765266244,130.00584564579495,166.36515221105878,296.9104335753337,338.0,1316.0,36251.0,1594698.0,57545.0,443.0,17.0,0.0
